Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
140  | 가비아             | 079940   |   73.3 |   0.2 |   0.4 |  -0.1 |  -0.0 |  -0.2
141  | 동성케미컬           | 102260   |   73.1 |   0.1 |   0.4 |  -0.2 |  -0.0 |  -0.1
142  | 에스원             | 012750   |   72.9 |   0.1 |   0.3 |   0.1 |  -0.1 |  -0.2
143  | 코스메카코리아         | 241710   |   72.7 |   0.3 |   0.3 |  -0.2 |  -0.1 |  -0.1
144  | 현대힘스            | 460930   |   72.5 |  -0.1 |   0.5 |   0.0 |  -0.1 |  -0.1
145  | 한글과컴퓨터          | 030520   |   72.3 |   0.3 |   0.1 |   0.1 |  -0.1 |  -0.2
146  | 영원무역            | 111770   |   72.1 |   0.0 |   0.2 |   0.2 |  -0.1 |  -0.0
147  | SNT모티브          | 064960   |   71.9 |   0.0 |   0.3 |   0.3 |  -0.1 |  -0.1
148  | 코람코더원리츠         | 417310   |   71.7 |   0.9 |  -0.1 |  -0.4 |  -0.1 |  -0.6
149  | 금호타이어           | 073240   |   71.5 |   0.3 |   0.3 |  -0.3 |  -0.1 |   0.0
150  | 무학              | 033920   |   71.3 |   0.3 |   0.2 |   0.0 |  -0.2 |  -0.2
151  | 다우데이타           | 032190   |   71.2 |  -0.2 |   0.5 |   0.1 |   0.1 |  -0.1
152  | 삼현              | 437730   |   71.0 |  -0.2 |   0.5 |   0.3 |  -0.1 |  -0.1
153  | 제일기획            | 030000   |   70.8 |   0.3 |   0.3 |  -0.2 |  -0.1 |  -0.0
154  | NAVER           | 035420   |   70.6 |   0.1 |   0.4 |  -0.0 |  -0.1 |  -0.2
155  | 한샘              | 009240   |   70.4 |   0.7 |  -0.1 |  -0.3 |  -0.2 |  -0.2
156  | 빙그레             | 005180   |   70.2 |   0.1 |   0.2 |   0.1 |  -0.2 |  -0.0
157  | 한화시스템           | 272210   |   70.0 |  -0.1 |   0.8 |  -0.3 |  -0.1 |  -0.1
158  | 아모레퍼시픽          | 090430   |   69.8 |   0.3 |   0.0 |   0.1 |  -0.0 |  -0.5
159  | LIG넥스원          | 079550   |   69.6 |   0.1 |   0.3 |  -0.3 |   0.1 |   0.1
160  | 효성중공업           | 298040   |   69.4 |   0.3 |   0.2 |  -0.3 |   0.1 |   0.0
161  | 넥스틸             | 092790   |   69.2 |   0.1 |   0.2 |   0.1 |  -0.1 |   0.1
162  | 애경산업            | 018250   |   69.0 |   0.2 |  -0.0 |   0.3 |  -0.2 |  -0.1
163  | 솔브레인            | 357780   |   68.8 |   0.1 |  -0.0 |   0.3 |  -0.2 |  -0.0
164  | 삼영무역            | 002810   |   68.7 |  -0.1 |   0.3 |   0.5 |  -0.2 |  -0.4
165  | 덴티움             | 145720   |   68.5 |   0.6 |  -0.2 |  -0.1 |  -0.3 |  -0.1
166  | 대웅              | 003090   |   68.3 |   0.4 |   0.1 |  -0.2 |  -0.1 |  -0.4
167  | 신도리코            | 029530   |   68.1 |  -0.3 |  -0.4 |   1.5 |  -0.3 |  -0.1
168  | LS ELECTRIC     | 010120   |   67.9 |   0.1 |   0.4 |  -0.2 |  -0.1 |   0.0
169  | 대웅제약            | 069620   |   67.7 |   0.4 |   0.0 |  -0.3 |   0.0 |  -0.1
170  | 이노션             | 214320   |   67.5 |   0.2 |   0.3 |  -0.3 |  -0.1 |  -0.1
171  | HD현대미포          | 010620   |   67.3 |  -0.0 |  -0.2 |  -0.3 |   1.0 |   0.1
172  | NHN KCP         | 060250   |   67.1 |  -0.0 |   0.4 |  -0.2 |  -0.1 |   0.1
173  | 한국카본            | 017960   |   66.9 |   0.2 |  -0.1 |  -0.2 |   0.3 |   0.0
174  | 삼성에스디에스         | 018260   |   66.7 |  -0.2 |   0.3 |   0.3 |  -0.1 |  -0.2
175  | HD한국조선해양        | 009540   |   66.5 |   0.2 |   0.1 |  -0.3 |   0.2 |   0.0
176  | HD현대중공업         | 329180   |   66.3 |   0.2 |   0.0 |  -0.4 |   0.3 |   0.0
