Code,Is_Financial,ROE,ROA,ROIC,Operating_Margin,Gross_Margin,Revenue_Stability,OpProfit_Stability,NetIncome_Stability,EPS_Stability,Dividend_Stability,Debt_Ratio,Interest_Coverage,Current_Ratio,Equity_Ratio,ROE_Improvement,ROA_Improvement,Operating_Margin_Improvement,Gross_Margin_Improvement,Accruals,Net_Operating_Assets,Earnings_Smoothness
004170,False,1.4441302124074855,0.6202351725029074,1.9915363742085541,6.029133477093693,61.095219234549425,1.9582991503157505,1.6717279458624814,1.258965340903628,0,0,132.8359107046152,1.263449123885644,49.07874442452791,42.948701382607574,-42.7,0,-17.7,5.2,7.708636836628512,1.0,0.5907391827429436
069620,False,9.530923214819241,4.233576642335766,6.376907763769078,12.467566165023353,52.010897768552155,1.9728608119852231,1.936055020026509,0.4865993507287057,0,0,125.12697938452347,3.3252595155709344,115.44085392601258,44.419376244193764,182.2,0,40.5,11.3,0.37265135699373697,1.0,1.119549689266688
028670,False,3.9630023619349837,2.0812620136541393,3.347015879328466,8.36825284090909,10.420809659090908,2.0368410812930673,1.8970002143660714,1.6246697950941575,0,0,90.41342877233471,1.604152484683458,149.82866043613708,52.517304396405606,-16.0,0,0.0,13.5,2.3879035925420644,1.0,0.36915288157158627
204320,False,5.56849049282111,2.0913794359833857,4.2465204401369965,4.12639405204461,15.466808284652151,1.9753919135991251,2.0264918432683925,1.7317645820892842,0,0,166.2592161428017,2.552562417871222,116.64595867120062,37.5573854113532,-13.0,0,12.0,8.8,3.1197771587743732,1.0,0.3608067905043412
006040,False,9.498757854742072,4.298884935384453,5.343183291226306,5.678559379217274,17.792678812415655,1.9525568250226601,1.9769021714246902,0.9994655571537051,0,0,120.9586438696478,4.603418803418803,123.3158461591912,45.25733786590124,1204.1,0,10.1,8.0,0.32020916641033526,1.0,0.8340965456415632
282330,False,15.041782729805014,5.281542545759396,5.055190722369709,2.6843546197164287,18.603512364502414,1.939439373794659,1.8359550377507738,1.8518064042551776,0,0,184.7990449661759,4.882591093117409,87.582745326253,35.11247729495599,-4.1,0,-5.2,4.4,3.6409307244843996,1.0,1.3291168516738576
097230,False,-4.7797293406277,-0.7255244755244755,0.6097027972027972,1.0054597545813286,6.735499216173848,1.883388955983882,0.6143212544546124,0.2438233258793566,0,0,558.7964295997697,0.34065934065934067,73.28287606433301,15.179195804195805,-88.4,0,215.2,-2.6,7.269461077844311,1.0,0.13603192246571116
192820,False,13.446235462150582,3.2727453317441397,7.2742848629320624,8.491304347826087,18.40869565217391,2.14276578564819,2.2647358408882043,1.1774643679959202,0,0,310.8549275658029,1.6982608695652175,81.51142644996287,24.33949145808502,-45.1,0,21.7,12.4,0.656060606060606,1.0,0.3936352159588677
007070,False,2.4482631189948263,1.0250657589354788,2.476629488749919,2.1521731822918415,24.15627416047598,1.9318223817998759,1.7976603306686225,0.19352147673987855,0,0,138.83653609263365,1.2659416707859614,89.10795532882945,41.86910103667027,323.8,0,6.4,3.2,10.28140703517588,0.9999871060910825,0.38049974153922694
005850,False,12.581699346405228,8.16749166582483,6.333973128598848,6.5978730540812505,12.718268452932936,1.9237875443758847,1.6690929863669657,1.6426764419036348,0,0,54.046062869592284,20.641975308641975,213.62695587383064,64.9156480452571,-18.5,0,-17.2,2.6,0.519629057187017,1.0,1.1617693106426346
112610,False,15.203184856906782,5.979143895305899,6.3210835721249,10.1120011341887,15.081165378889914,1.782653866542736,1.860805633221865,1.580185049381976,0,0,154.2702621497784,1.9096385542168675,130.37293039704227,39.32823254852146,42.8,0,13.5,-10.5,2.2414814814814816,1.0,0.37821252342088674
267270,False,3.5048079449319527,1.8739639816817915,3.6411653976905574,4.775723406019401,19.484288201641657,1.9338946833633874,1.7543719421833595,1.5627770629765585,0,0,87.02643056066418,1.750759878419453,203.63669097128457,53.46837861377237,-4.6,0,-11.4,6.8,2.230538922155689,1.0,0.47360274370128047
006360,False,0.3258131120834991,0.09585804092915422,1.760555530786036,3.276928463064535,10.010502975843155,1.9102438153654457,1.5753307848404206,0.3420083489920731,0,0,239.89126934515355,0.6148007590132827,113.48131201480645,29.421173480761514,-80.2,0,55.0,-0.1,3.479768786127168,1.0,0.7775895010055189
023590,False,13.691848436484012,1.3496780584447747,1.3733502316231099,8.448148397069694,13.968008602728679,2.407237010523208,2.094422117476026,2.1291869432633055,0,0,914.4529171838979,36.647230320699705,146.34938861880752,9.857529936194389,20.8,0,11.9,63.9,8.693826894021152,1.0,0.23523959283983178
085620,True,6.396640148608812,0.49096944769036693,0.3747361504151853,,,0.0,2.380594354749148,2.7211596215913465,0,0,1202.859104308848,,,7.675427041134189,41.7,0,59.7,0.0,0.5539432176656152,1.0,0.11827869194660151
011210,False,4.171893030956801,2.3508955455971954,2.2339162272579483,2.5525161728006203,6.524846752113973,1.9945926071580669,1.8425531690979575,2.1429385828772385,0,0,77.4597360895088,4.172277227722772,191.31341209173036,56.35081072675611,35.5,0,-7.1,1.8,1.125,1.0,0.3218807237938939
